source_id,title,status,text_path,characters,wpl,bristol,weca,obc,fbc,clean_air_zone,demand_management,secretary_of_state,confirmation,net_proceeds,variation,revocation,rpi,consultation,boundary,licensing,enforcement,parking_inventory
SRC-UK-0003,WPL - An evidence-based review of policy and prospects for Leicester,downloaded,evidence/processed/text/SRC-UK-0003.txt,104281,249,0,0,0,0,2,13,1,1,0,3,0,0,10,7,5,3,38
SRC-WECA-0001,Joint Local Transport Plan 4 2020-2036,downloaded,evidence/processed/text/SRC-WECA-0001.txt,538451,10,371,280,1,0,22,7,1,1,0,4,0,0,81,7,4,15,16
SRC-WECA-0003,Combined Authority Bus Strategy updated September 2021,downloaded,evidence/processed/text/SRC-WECA-0003.txt,52968,0,13,63,0,0,2,0,0,1,0,1,0,0,7,0,0,1,2
SRC-WECA-0004,Bus Service Improvement Plan 2024,downloaded,evidence/processed/text/SRC-WECA-0004.txt,175786,1,75,70,0,0,1,2,1,2,0,0,0,0,7,3,3,10,0
SRC-WECA-0006,Local Growth Assurance Framework January 2024,downloaded,evidence/processed/text/SRC-WECA-0006.txt,102822,0,6,254,10,20,0,0,2,9,0,0,0,0,29,0,0,0,0
SRC-WECA-0007,Local Growth Assurance Framework July 2025 final,downloaded,evidence/processed/text/SRC-WECA-0007.txt,105773,0,6,255,10,20,0,0,2,10,0,0,0,0,29,0,0,0,0
SRC-WECA-0011,West of England Combined Authority Constitution page,downloaded,evidence/processed/text/SRC-WECA-0011.txt,4200,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC-WECA-0012,Part A Constitution,downloaded,evidence/processed/text/SRC-WECA-0012.txt,125532,0,11,586,0,0,1,0,0,2,0,2,1,0,23,1,0,2,0
SRC-WECA-0013,Part B Constitution - 2026 Revision,downloaded,evidence/processed/text/SRC-WECA-0013.txt,198314,0,0,133,1,1,0,1,0,11,0,18,0,0,19,1,2,0,0
SRC-WECA-0014,Transport page,downloaded,evidence/processed/text/SRC-WECA-0014.txt,5363,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC-WECA-0015,Combined Authority Committee details,downloaded,evidence/processed/text/SRC-WECA-0015.txt,4612,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC-WECA-0016,Joint Committee details,downloaded,evidence/processed/text/SRC-WECA-0016.txt,3263,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
